,Time,Sender,Sender_type,Content
260,0:06:39,Aye_am_anidiot,none,Jouer pendant la Toussain c'est pas mal aussi
261,0:06:39,tokkyo_sc,premium,Wesh bg t'es lentilles? je voudrais des news my love
262,0:06:40,MrDialo,subscriber,Pas mal le stream de hier Kappa
263,0:06:43,Ptikikoo,none,Salut Sard
264,0:06:44,poutine667dg,none,Andréas par pitié débloque moi sur twitter @ youngfugo je t'en supplie debloque moi tu mas bloqué ya 4 ans pitié
265,0:06:44,kitsukaze,none,je suis une femme et pourtant bien devant ce stream dans ce celibat incroyable 😂
266,0:06:44,zelarix_,none,Bonjour
267,0:06:45,officialmitrix,none,Tu veux etre mon valentin Sardine ?
268,0:06:45,kems69,none,bande de puceau mdr
269,0:06:46,freezie028,none,OLE
270,0:06:47,toufroune,subscriber,coucou les racailles
271,0:06:47,rrom6859,premium,qui a besoin d'un événement pour acheter un cadeau à quelqu'un?
272,0:06:47,yoan1111,none,Cleeeeaaaanzzz
273,0:06:48,Bazippo,none,salut
274,0:06:48,kulbuth,none,frère le lobby des chocolats
275,0:06:50,jemainblitz,none,mon Valentin
276,0:06:50,jeanCHURROS,none,salut benjamin grivaeaux
277,0:06:52,pixoniu,none,ola
278,0:06:54,Foaust,bits,Pogchamp
279,0:06:54,GueshTTV,premium,LuvSign LuvSign LuvSign LuvSign LuvSign
280,0:06:58,fayvinnn,none,KonCha KonCha
281,0:07:00,hjklm_nhnh,none,sardYop
282,0:07:01,Nezuko_LoL,subscriber,Putin t'es à l'heure
283,0:07:01,GueshTTV,premium,LuvSign LuvSign LuvSign LuvSign LuvSign LuvSign
284,0:07:01,rotgar1er,none,t'as la pêche c'est sympa gobL
285,0:07:02,Nezuko_LoL,subscriber,in;croyable
286,0:07:03,Cocoblack93,none,Nan mais si je la fête cest par choix hein
287,0:07:03,Naoan77,none,!pb
288,0:07:04,Sardbot,moderator,Record personnel: 2h17:29s (8février) - 0 deaths DLC ça va être dur à battre !
289,0:07:05,Jixafy,subscriber,T'as le nez tout brillant c'est incroyable
290,0:07:05,SyIvanus,subscriber,ta pissé ?
291,0:07:05,Nailyk93320,none,Salut
292,0:07:05,Foaust,bits,PogChamp
293,0:07:07,GueshTTV,premium,LuvSign LuvSign LuvSign LuvSign LuvSign
294,0:07:08,rrom6859,premium,Merci ta ponctualité; une fois n'est pas coutume comme on dit
295,0:07:09,mely0o,subscriber,j'arrive
296,0:07:10,Fonggas_Wowee,subscriber,yes
297,0:07:12,aloysmp4,subscriber,Je suis abonné ?
298,0:07:14,yoan1111,none,C’est quoi ton délire avec les streams à 5h du mat?
299,0:07:17,Nezuko_LoL,subscriber,MELON THE GOOD
300,0:07:19,GueshTTV,premium,LuvSign
301,0:07:20,Arteni,subscriber,Trackmania
302,0:07:20,slyzek58,none,KonCha
303,0:07:22,ariagape,premium,pas besoin d'un jour particulier pour s'aimer NotLikeThis NotLikeThis
304,0:07:23,StrideurFR,subscriber,OWI BEAT SABER
305,0:07:23,SonOf7Less,subscriber,oui
306,0:07:24,wolfendarkist,none,bah joue a beat saber
307,0:07:24,Foaust,bits,@paplle oui
308,0:07:25,GueshTTV,premium,LuvSign LuvSign
309,0:07:26,TSeuH,subscriber,Beat Saber \o/
310,0:07:27,mely0o,subscriber,"El famoso ""j'arrive"""
311,0:07:28,SonOf7Less,subscriber,on a remarqué
312,0:07:28,Bloodsafe,subscriber,@Sardoche si t'as pas bougé les capteurs ça devrait se faire vite
313,0:07:28,kitsukaze,none,stream nous de la qualidad d'amour de st valentin mdr
314,0:07:28,LiteFlow2,premium,Il a lustré son nez ?
315,0:07:29,Cocoblack93,none,Joli rasage en tout cas
316,0:07:33,Nezuko_LoL,subscriber,MDRRRRRRRR
317,0:07:34,Mannnequins,subscriber,monkaW
318,0:07:34,Fonggas_Wowee,subscriber,oof
319,0:07:35,saadllife,none,AYAYA haHAA
